word	file	lines
ACH	03-data-wrangling1.Rmd	69
ACH	04-data-wrangling2.Rmd	42,43,44,50,51,52,58,59,60,128,129,130,131,132,133
ATCG	lesson1_slides.qmd	220
bool	01-intro-to-computing.Rmd	129
bool	lesson1_slides.qmd	266
callout	lesson1_slides.qmd	280,323
catplot	05-data-visualization.Rmd	144
cjc	lesson1_slides.qmd	169
cloudfront	lesson1_slides.qmd	41
coc	lesson1_slides.qmd	93
CoC	lesson1_slides.qmd	93
Colab	01-intro-to-computing.Rmd	39,41,43,73
Colab	lesson1_slides.qmd	167
comparision	03-data-wrangling1.Rmd	83
CRISPR	03-data-wrangling1.Rmd	31,41
DaSL	lesson1_slides.qmd	19
data's	04-data-wrangling2.Rmd	20
Dataframe's	03-data-wrangling1.Rmd	127,147
Dataframe's	04-data-wrangling2.Rmd	106
Depmap	04-data-wrangling2.Rmd	7
DepMap	03-data-wrangling1.Rmd	29
df	lesson1_slides.qmd	41
efc	lesson1_slides.qmd	41
EGFR	05-data-visualization.Rmd	114
faciltate	04-data-wrangling2.Rmd	66
fhdsl	lesson1_slides.qmd	93
ggplot	05-data-visualization.Rmd	15
github	lesson1_slides.qmd	93
gle	lesson1_slides.qmd	177
Hadley	03-data-wrangling1.Rmd	15,23
indicies	02-data-structures.Rmd	74,180,215
indicies	03-data-wrangling1.Rmd	83
ints	lesson1_slides.qmd	365
ipynb	lesson1_slides.qmd	171
iPython	01-intro-to-computing.Rmd	51
Jupyter	01-intro-to-computing.Rmd	51
KRAS	01-intro-to-computing.Rmd	43
KRAS	03-data-wrangling1.Rmd	70,71
KRAS	05-data-visualization.Rmd	114
len	lesson1_slides.qmd	220,352
lineplot	05-data-visualization.Rmd	100
lineplots	05-data-visualization.Rmd	140
lioy	lesson1_slides.qmd	169
matplotlib	05-data-visualization.Rmd	11,13
MeanAge	04-data-wrangling2.Rmd	137
ModelID	03-data-wrangling1.Rmd	69
ModelID	04-data-wrangling2.Rmd	40,48,56,126
Munzner	05-data-visualization.Rmd	39
Mut	03-data-wrangling1.Rmd	71
Myeloid	03-data-wrangling1.Rmd	69
NaN	04-data-wrangling2.Rmd	51,59
nd	02-data-structures.Rmd	31
NDU	lesson1_slides.qmd	169
nq	lesson1_slides.qmd	169
NumPy	03-data-wrangling1.Rmd	131,132,133,143
NumPy	04-data-wrangling2.Rmd	30
NzAyODI	lesson1_slides.qmd	169
NzU	lesson1_slides.qmd	169
omics	03-data-wrangling1.Rmd	31
OncotreeLineage	03-data-wrangling1.Rmd	69,85,91
OncotreeLineage	04-data-wrangling2.Rmd	48,56,126,137
PIK	04-data-wrangling2.Rmd	40,40,56,56
plotnine	05-data-visualization.Rmd	15
QZ	lesson1_slides.qmd	177
revealjs	lesson1_slides.qmd	4
scalable	02-data-structures.Rmd	13
scrollable	lesson1_slides.qmd	6
seaborn	05-data-visualization.Rmd	13
Seaborn	05-data-visualization.Rmd	96,140,164
Seaborn's	05-data-visualization.Rmd	35
SlackOverflow	lesson1_slides.qmd	377
sns	05-data-visualization.Rmd	144
specificed	02-data-structures.Rmd	67
specifiy	04-data-wrangling2.Rmd	110
stackoverflow	lesson1_slides.qmd	377
str	01-intro-to-computing.Rmd	128
str	lesson1_slides.qmd	265
subtypes	04-data-wrangling2.Rmd	122
th	01-intro-to-computing.Rmd	226
th	02-data-structures.Rmd	35,209
thon	lesson1_slides.qmd	125,129
Uef	lesson1_slides.qmd	177
webpage's	05-data-visualization.Rmd	62
Wickham	03-data-wrangling1.Rmd	15,23
wubrfki	lesson1_slides.qmd	41
zFZ	lesson1_slides.qmd	177
